Date,Source,Campaign,Impressions,Spend,Clicks,AdGroup,Ad,Invalid CTR,CTR,CPC
2023-07-07,Bloggers,,0,0.0,0,,,False,,
2023-07-07,CRM,,0,0.0,0,,,False,,
2023-07-07,Facebook Ads,05.07.23interests_DE,46,1.1,0,interest_programming,b3,False,0.0,
2023-07-07,Google Ads,,0,0.0,0,,,False,,
2023-07-07,Google Ads,performancemax_eng_DE,3859,10.46,120,,,False,0.031096138896087068,0.08716666666666667
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,7,0.16,0,recentlymoved,b1,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,18,0.12,0,interest_programming – Copy,b2,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,23,0.3,0,interest_programming – Copy,b3,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,29,0.36,0,interest_dataanalytics – Copy,b4,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,24,0.34,0,interest_dataanalytics – Copy,b2,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,49,0.65,2,interest_work,b3,False,0.04081632653061224,0.325
2023-07-07,Facebook Ads,05.07.23interests_DE,83,0.94,2,interest_work,b4,False,0.024096385542168676,0.47
2023-07-07,Organic,,0,0.0,17,,,True,,0.0
2023-07-07,Google Ads,gen_analyst_DE,190,25.85,26,,,False,0.1368421052631579,0.9942307692307693
2023-07-07,Telegram posts,,0,0.0,0,,,False,,
2023-07-07,Facebook Ads,05.07.23interests_DE,82,1.09,1,interest_dataanalytics,b3,False,0.012195121951219513,1.09
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,623,8.59,6,recentlymoved,b2,False,0.009630818619582664,1.4316666666666666
2023-07-07,Facebook Ads,02.07.23wide_DE,17,0.35,0,wide,b2,False,0.0,
2023-07-07,Facebook Ads,,0,0.0,0,,,False,,
2023-07-07,SMM,,0,0.0,7,,,True,,0.0
2023-07-07,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_dataanalytics – Copy,b3,False,0.0,
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,73,0.79,1,recentlymoved,b4,False,0.0136986301369863,0.79
2023-07-07,Facebook Ads,07.07.23LAL_DE,375,6.54,7,LAL1,b3,False,0.018666666666666668,0.9342857142857143
2023-07-07,Facebook Ads,02.07.23wide_DE,1,0.04,0,wide,b1,False,0.0,
2023-07-07,Facebook Ads,03.07.23women,18,0.2,1,women,b2,False,0.05555555555555555,0.2
2023-07-07,Facebook Ads,05.07.23interests_DE,10,0.14,0,interest_dataanalytics,b2,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,8,0.04,0,interest_dataanalytics,b4,False,0.0,
2023-07-07,Facebook Ads,03.07.23women,1,0.02,0,women,b4,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,3,0.02,0,interest_dataanalytics,b1,False,0.0,
2023-07-07,Facebook Ads,02.07.23wide_DE,1062,14.78,31,wide,b3,False,0.02919020715630885,0.47677419354838707
2023-07-07,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2,False,,
2023-07-07,Facebook Ads,05.07.23interests_DE,86,1.02,2,interest_programming – Copy,b4,False,0.023255813953488372,0.51
2023-07-07,Facebook Ads,05.07.23interests_DE,290,4.28,11,interest_work,b2,False,0.03793103448275862,0.3890909090909091
2023-07-07,Tiktok Ads,,0,0.0,0,,,False,,
2023-07-07,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v1,False,,
2023-07-07,Youtube Ads,,0,0.0,0,,,False,,
2023-07-07,Facebook Ads,03.07.23women,731,10.68,16,women,b3,False,0.02188782489740082,0.6675
2023-07-07,Facebook Ads,07.07.23LAL_DE,7,0.01,0,LAL1,b4,False,0.0,
2023-07-07,Facebook Ads,02.07.23wide_DE,1,0.0,0,wide,b4,False,0.0,
2023-07-07,Facebook Ads,05.07.23interests_DE,38,0.32,0,interest_programming,b4,False,0.0,
2023-07-07,Facebook Ads,07.07.23LAL_DE,37,0.36,0,LAL1,b2,False,0.0,
2023-07-07,Facebook Ads,04.07.23recentlymoved_DE,126,2.28,1,recentlymoved,b3,False,0.007936507936507936,2.28
2023-07-08,Facebook Ads,02.07.23wide_DE,940,13.74,19,wide,b3,False,0.02021276595744681,0.7231578947368421
2023-07-08,Facebook Ads,05.07.23interests_DE,70,0.92,1,interest_dataanalytics – Copy,b2,False,0.014285714285714285,0.92
2023-07-08,Telegram posts,,0,0.0,0,,,False,,
2023-07-08,Tiktok Ads,,0,0.0,0,,,False,,
2023-07-08,Youtube Ads,,0,0.0,0,,,False,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,222,3.73,3,recentlymoved,b3,False,0.013513513513513514,1.2433333333333334
2023-07-08,Facebook Ads,05.07.23interests_DE,14,0.22,0,interest_programming – Copy,b4,False,0.0,
2023-07-08,Tiktok Ads,12.07.2023wide_DE,0,0.0,0,wide,v2,False,,
2023-07-08,Facebook Ads,05.07.23interests_DE,206,2.95,1,interest_work,b4,False,0.0048543689320388345,2.95
2023-07-08,Google Ads,,0,0.0,0,,,False,,
2023-07-08,Google Ads,performancemax_eng_DE,12723,32.22,463,,,False,0.03639078833608426,0.06958963282937365
2023-07-08,Facebook Ads,05.07.23interests_DE,290,3.55,5,interest_work,b2,False,0.017241379310344827,0.71
2023-07-08,Organic,,0,0.0,41,,,True,,0.0
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,3,0.01,0,recentlymoved,b1,False,0.0,
2023-07-08,SMM,,0,0.0,0,,,False,,
2023-07-08,Facebook Ads,05.07.23interests_DE,1,0.0,0,interest_programming – Copy,b2,False,0.0,
2023-07-08,Facebook Ads,,0,0.0,0,,,False,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,36,0.5,0,recentlymoved,b4,False,0.0,
2023-07-08,Facebook Ads,07.07.23LAL_DE,33,0.36,3,LAL1,b2,False,0.09090909090909091,0.12
