Id,Call Start Time,Call Owner Name,CONTACTID,Call Type,Call Duration (in seconds),Call Status,Outgoing Call Status,Scheduled in CRM,Invalid Call Duration
5805028000001363057,2023-07-08 12:34:00,Jane Smith,5805028000001372014,Outbound,24.0,Attended Dialled,Completed,0.0,False
5805028000001375065,2023-07-08 13:23:00,Jane Smith,5805028000001325013,Outbound,67.0,Attended Dialled,Completed,0.0,False
5805028000001401121,2023-07-08 13:27:00,Jane Smith,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001405026,2023-07-08 13:28:00,Jane Smith,5805028000001204049,Outbound,1793.0,Attended Dialled,Completed,0.0,False
5805028000001405038,2023-07-08 14:04:00,Jane Smith,5805028000001347038,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001377077,2023-07-08 14:20:00,Jane Smith,5805028000001033019,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001399048,2023-07-08 14:22:00,Jane Smith,5805028000001076115,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001369145,2023-07-08 14:23:00,Jane Smith,5805028000001326001,Outbound,0.0,Unattended Dialled,Completed,0.0,False
5805028000001387043,2023-07-08 14:52:00,Jane Smith,5805028000000964025,Outbound,14.0,Attended Dialled,Completed,0.0,False
5805028000001377089,2023-07-08 14:54:00,Jane Smith,5805028000000964025,Missed,0.0,Missed,,,False
5805028000001347073,2023-07-08 14:54:00,Jane Smith,5805028000000964025,Outbound,20.0,Attended Dialled,Completed,0.0,False
5805028000001348065,2023-07-08 14:55:00,Jane Smith,5805028000000964025,Outbound,2.0,Attended Dialled,Completed,0.0,False
5805028000001347085,2023-07-08 15:44:00,Jane Smith,5805028000001347038,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001404079,2023-07-08 15:50:00,Bob Brown,5805028000001009140,Outbound,4.0,Attended Dialled,Completed,0.0,False
5805028000001372054,2023-07-08 16:43:00,John Doe,,Missed,0.0,Missed,,,False
5805028000001348077,2023-07-08 16:43:00,John Doe,,Missed,0.0,Missed,,,False
5805028000001377101,2023-07-08 19:16:00,Jane Smith,5805028000001033019,Outbound,4.0,Attended Dialled,Completed,0.0,False
5805028000001348089,2023-07-08 19:17:00,Jane Smith,5805028000001347038,Outbound,6.0,Attended Dialled,Completed,0.0,False
5805028000001377113,2023-07-08 20:58:00,Jane Smith,5805028000001367055,Outbound,5.0,Attended Dialled,Completed,0.0,False
5805028000001399096,2023-07-09 10:02:00,Alice Johnson,5805028000001350131,Outbound,0.0,Unattended Dialled,Completed,0.0,False
